,open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,datetime_utc,datetime_utc_str,time_str,pos
0,1713657600000,64897.2,64929.9,64843.6,64843.6,216.414,1713657659999,14043204.4289,2842,105.262,6831172.6082,0,2024-04-21 00:00:59.999,2024-04-21 00:00:59.999,00:00,1
1,1713657660000,64843.6,64843.7,64770.0,64804.9,364.859,1713657719999,23642681.5136,3936,131.856,8544041.6565,0,2024-04-21 00:01:59.999,2024-04-21 00:01:59.999,00:01,1
2,1713657720000,64804.9,64804.9,64722.3,64726.3,299.555,1713657779999,19395485.8822,3879,88.909,5756195.4188,0,2024-04-21 00:02:59.999,2024-04-21 00:02:59.999,00:02,1
3,1713657780000,64726.3,64749.7,64707.5,64717.5,136.449,1713657839999,8831376.0697,2015,61.018,3949238.3853,0,2024-04-21 00:03:59.999,2024-04-21 00:03:59.999,00:03,1
4,1713657840000,64717.6,64850.0,64717.6,64822.7,222.083,1713657899999,14391584.6677,3131,116.953,7576725.7875,0,2024-04-21 00:04:59.999,2024-04-21 00:04:59.999,00:04,1
5,1713657900000,64822.7,64853.7,64788.6,64820.4,101.423,1713657959999,6574625.3955,1913,52.896,3428888.3795,0,2024-04-21 00:05:59.999,2024-04-21 00:05:59.999,00:05,1
6,1713657960000,64820.5,64836.7,64785.5,64792.7,102.667,1713658019999,6654350.5292,1982,31.936,2069943.9275,0,2024-04-21 00:06:59.999,2024-04-21 00:06:59.999,00:06,1
7,1713658020000,64792.7,64792.7,64743.7,64743.7,107.771,1713658079999,6980951.656,2011,65.145,4220107.2398,0,2024-04-21 00:07:59.999,2024-04-21 00:07:59.999,00:07,1
8,1713658080000,64743.7,64799.5,64722.5,64766.5,118.754,1713658139999,7689333.407,2806,79.727,5162017.0396,0,2024-04-21 00:08:59.999,2024-04-21 00:08:59.999,00:08,1
9,1713658140000,64766.5,64800.0,64754.5,64790.0,94.086,1713658199999,6094409.7037,1457,76.898,4980943.6964,0,2024-04-21 00:09:59.999,2024-04-21 00:09:59.999,00:09,1
10,1713658200000,64790.0,64815.3,64780.4,64790.1,75.342,1713658259999,4881571.2546,1421,15.139,980941.4029,0,2024-04-21 00:10:59.999,2024-04-21 00:10:59.999,00:10,1
11,1713658260000,64790.0,64822.8,64784.7,64807.6,35.728,1713658319999,2315411.4159,1062,19.056,1234900.1514,0,2024-04-21 00:11:59.999,2024-04-21 00:11:59.999,00:11,1
12,1713658320000,64807.5,64815.0,64772.4,64778.9,25.803,1713658379999,1671830.1624,1275,10.562,684311.3751,0,2024-04-21 00:12:59.999,2024-04-21 00:12:59.999,00:12,1
