,open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,datetime_utc,datetime_utc_str,time_str,pos
0,1713657600000,3154.3,3154.79,3151.63,3151.63,1173.687,1713657659999,3700915.55169,1940,475.299,1498870.13929,0,2024-04-21 00:00:59.999,2024-04-21 00:00:59.999,00:00,1
1,1713657660000,3151.63,3151.64,3142.63,3144.45,4481.917,1713657719999,14099708.2407,5686,1484.127,4667360.64507,0,2024-04-21 00:01:59.999,2024-04-21 00:01:59.999,00:01,1
2,1713657720000,3144.45,3144.45,3140.07,3140.83,4410.555,1713657779999,13856683.6973,4930,2131.583,6697023.11889,0,2024-04-21 00:02:59.999,2024-04-21 00:02:59.999,00:02,1
3,1713657780000,3140.79,3141.85,3138.04,3139.65,2108.077,1713657839999,6618275.63864,3415,971.274,3049385.13205,0,2024-04-21 00:03:59.999,2024-04-21 00:03:59.999,00:03,1
4,1713657840000,3139.66,3146.66,3139.65,3146.39,1271.501,1713657899999,3996820.575,2713,772.957,2429346.83213,0,2024-04-21 00:04:59.999,2024-04-21 00:04:59.999,00:04,1
5,1713657900000,3146.39,3147.61,3143.89,3146.86,976.36,1713657959999,3071542.28496,2657,513.216,1614428.15165,0,2024-04-21 00:05:59.999,2024-04-21 00:05:59.999,00:05,1
6,1713657960000,3146.86,3148.0,3144.91,3145.8,1044.249,1713658019999,3285889.15059,2065,290.68,914743.10101,0,2024-04-21 00:06:59.999,2024-04-21 00:06:59.999,00:06,1
7,1713658020000,3145.8,3145.8,3141.26,3141.81,836.13,1713658079999,2628192.79451,2297,241.279,758334.84566,0,2024-04-21 00:07:59.999,2024-04-21 00:07:59.999,00:07,1
8,1713658080000,3141.8,3144.0,3140.37,3142.94,1175.92,1713658139999,3694542.9766,2313,557.597,1751993.34743,0,2024-04-21 00:08:59.999,2024-04-21 00:08:59.999,00:08,1
9,1713658140000,3142.94,3145.54,3142.29,3144.83,416.13,1713658199999,1308252.79132,1465,260.69,819548.78447,0,2024-04-21 00:09:59.999,2024-04-21 00:09:59.999,00:09,1
10,1713658200000,3144.83,3145.84,3144.21,3144.59,538.632,1713658259999,1693881.39418,1422,233.23,733434.20621,0,2024-04-21 00:10:59.999,2024-04-21 00:10:59.999,00:10,1
11,1713658260000,3144.58,3146.36,3144.0,3145.61,530.683,1713658319999,1668818.62226,1009,318.552,1001726.22828,0,2024-04-21 00:11:59.999,2024-04-21 00:11:59.999,00:11,1
12,1713658320000,3145.61,3145.65,3142.54,3142.7,325.1,1713658379999,1022110.60246,915,154.375,485326.16819,0,2024-04-21 00:12:59.999,2024-04-21 00:12:59.999,00:12,1
13,1713658380000,3142.7,3144.56,3142.7,3144.34,302.37,1713658439999,950611.03187,758,202.872,637778.48176,0,2024-04-21 00:13:59.999,2024-04-21 00:13:59.999,00:13,1
14,1713658440000,3144.33,3147.22,3144.09,3147.21,716.728,1713658499999,2254541.15646,1381,427.871,1345913.09446,0,2024-04-21 00:14:59.999,2024-04-21 00:14:59.999,00:14,1
15,1713658500000,3147.22,3148.86,3143.53,3144.43,1197.796,1713658559999,3769041.82388,1888,495.776,1559939.78424,0,2024-04-21 00:15:59.999,2024-04-21 00:15:59.999,00:15,1
